"filename", "language", "JavaScript", "TypeScript", "JSON", "GraphQL", "Markdown", "JavaScript React", "TypeScript React", "SCSS", "HTML", "YAML", "comment", "blank", "total"
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_confirm.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_new-product.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 13, 11, 66
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_password.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_profile.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 14, 100
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_update.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_verify.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\styles\orders.style.ts", "TypeScript", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 93
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\styles\productList.style.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\styles\updateProduct.style.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 67
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\styles\variants.style.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 71
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\styles\viewProduct.style.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\Landing.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\Login.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 5, 7, 189
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\components\ChangePasswordDialog.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 1, 8, 209
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\components\CreateAccountDialog.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 410, 0, 0, 0, 0, 11, 421
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\components\DesktopLanding.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 5, 115
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\components\MobileLanding.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\interfaces\Create.i.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\interfaces\Login.i.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 23
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\interfaces\Password.i.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\scss\_dialog.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\scss\_landing.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 21, 186
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\scss\_login.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 14, 118
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\navigation\NavBar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 21, 6, 117
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\navigation\components\AccountsMenu.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 4, 149
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\navigation\components\Links.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 17, 5, 157
